,0
17,"is this an example of depersonalisation.....if you don't see your body as yours so it affects relationships cos you think 'they're not my sister/friend/brother they just think they have a relationship with the personality they believe occupies that body'??

so you're seeing the physical body as more of a 'transport vessel' like I'm just borrowing it to get from A to B like borrowing someone's else's car to get somewhere??"
18,"I know it sounds like a meme, but I feel like I'm living in a simulation. So many things to wrong in my life, but they're so specific. Like, the very worst thing that can happen, happens. For example, let's say I need a specialist, I find a local one, within a day or two, the specialist would have moved to another (much further) location. As it someone knew I needed them, and then made it more difficult for me to find a specialist. 

Another example is how I feel different from other people. I feel like I'm much more aware of my surroundings than other people. I feel like I'm much more intuitive than other people. It's like people miss obvious things that they should've seen. I'm not sure what a good example would be because it's just little things, but they're so obvious. I've vented about this before and people became angry at me because they claim those things are mistakes or ""brain farts"". And yes, I accept that people make mistakes, but I hardly ever make these kinds of mistakes because they're so easy to not make.

Sigh. I just sound like I think I'm ""superior"" or something. But that's really not it. I just make the best possible decisions to avoid mistakes. It's easy for me."
19,"Since I was intentionally initiated of DID alters by my abusers into my mind ever since early childhood, the storing of memories is completely different than adults permanently. Adults remember memories in fading effects, but when a little child was inflicted of trauma severe enough, it can fragment the mind, creating a time-warp effect. This was when my countless of multiple identities were created, each has their own distinctive biographical memories, experiences and personalities. It means, I am being a toddler, child, teenager and an adult at the same time.

The traumatic memories inflicted upon me were in an infinite series, that I would die by being overclocked in my mind, if all of my walls would be opened, turning from multiple streams of consciousness into a single stream, without anyone killing me nor myself committing suicide. Think about a low-capacity computer that is being overloaded. I have been through hell and back."
20,"if you have one alter who was the main host for a period of your life and had a RL friend in that period but then there was a falling out...how do you deal with it if that alter has gone inside and refuses to engage with the RL person? .. but other alters/hosts don't have all the information on the relationship or about the person (so they don't slip up by missing important dates or information etc cos RL person doesn't know alter they see as 'their friend' is a multiple?)

Telling the person isn't an option, things end up on social media too easily and we're an highly covert system (even family haven't been told)."
21,Sometimes I am thrown out of my train of thought and feel that all things around me are out of my hand. I am in MY body but it isn't mine in any way that matters. There are things bigger than me happening all around me and I am just an animal made aware of its existence.
22,"Discovering information about passive influence of alters has been the missing link for me. There’s no doubt whatsoever that many of my responses are influenced by my alters without there being a full ‘switch’ but I’ve never found literature about this until today.

Another member here wrote about it saying that passive influence is more common than actual switching and I have to agree, at least in my case.

There have been plenty of times in my life where I’ve acted totally out of character. Behaviour that’s completely uncommon for me that I’ve been most embarrassed about. Not to claim that all my unwanted actions were a case of passive influence but some, definitely.


http://traumadissociation.com/dissociativeidentitydisorder


https://did-research.org/did/identity_alteration/switching


https://www.beautyafterbruises.org/blog/didmyths"
23,"So I am under a lot of stress at the moment (university, lack of communication from uni, covid, worying about family and covid, i moved house, my grandma has been diagnosed with dementia, i am visiting family over xmas and have deadlines due with no support from university as it is closed etc etc) - and I think it has all built up until I am suddenly experiencing awful anxiety. Not only anxiety but I feel completely disconnected from the world. I feel like I'm not really here every day it's almost as if I am dreaming. I am staying with my Mum and I get so irritable when she talks to me, I can't concentrate on what she is saying and I just want her to shut up and I snap. She doesn't look real either. Then I get so upset and feel guilty and cry. Sometimes when she is talking to me I'm so out of it, I feel like I can't take in what she's saying. My mind is elsewhere. I'm thinking of so many other things I think. It all makes me panic, its so distressing. Before I came to visit I was feeling sort of stressed but stable and definitely not like this. I'm hoping when I go home that I will feel better but I am also worried that I won't feel better and will be isolated which won't help me at all.

Has anyone experienced the not feeling real and the extreme irritability?  I experienced the not feeling real when I was about 12 and was going through a lot of stress, my dad told me it was mild depersonalisation (he is a RMN) and he told me to lie in bed, breathe and repeat to myself 'I am really here' and in all fairness, it worked but it isn't working this time but it is a lot worse."
24,"Hey, my name is Remus and about 2 weeks ago I took too much of my thc edibles and got too “high” and now I don’t feel real and can’t sleep. It is slowly getting better but 2 weeks ago I was in a bad state. I kinda feel a bit high  all the time but I’m not. What is going on? It’s really scary and I’m struggling everyday. I’m having dreams about my high like panic dreams. Any advice would be greatful 
Many thanks"
25,"Ok so this has only happened a couple times. I'm stumped. I went on Google and took some dissociation test that was probably not legitimate but the questions did make sense and all of the things added up started to make a bit click in my head. I've always just viewed myself as forgetful, with selective hearing. Ha! I'm almost 30, female. I've had a LOT of negative things happen in my life. I don't want to go into great detail I want to make this as short as I can. From what I've heard from other people who have borderline personality disorder and from a lot of research...it resembles my problems more than any mental health disorder I've heard of. I have had a couple of ""episodes"". The first one: I am a nail technician, I was home doing my sister in law's nails. All of a sudden I felt I had no control of my hands. it was a struggle for me to make them do what I needed. I was twisting my feet trying to ground myself to make my arms do what I was trying to tell them to do. I didn't feel faint or anything like that but it scared the hell out of me. Second: Fast forward a couple months. I'm at home alone on the couch. I don't know if I was triggered by something on television but I all of a sudden felt like I was ""gone"" almost light headed. Everything almost gets foggy. It scared me so bad, I already have paranoia most of the time. So I panic I think I'm going to drop dead right there. I called my boyfriend and told him I felt strange and I was scared. He calmed me down and I was ok. Now third: This one was yesterday. Similar to the last I felt light headed and gone, everything got almost hazy. This time though I noticed that my hearing was different. Almost blocked. Again I think I'm going to die and call my boyfriend. I laid down and tried to calm myself and it eventually passed. I'm scared I'm having mini strokes or something, I feel like I'm going crazy. I'm terrified."
26,"Hello. I have posted on these forums before regarding depression and anxiety. My ordeal was triggered by one pill of expired SSRI medication. That night, I experienced severe nausea and headache but it went away the next morning. Five days later, the first symptom I experienced was intense derealization. It was very sudden. It felt like my surroundings weren't real and I wasn't absorbing them. Also the coloration of my room was off and dull and I began having existential thoughts about reality and existence. I impulsively began waving my arm behind my head, suddenly realizing all humans can only look forward and not backward and feeling intense discomfort over this seemingly obvious fact. I began staring outside my window looking at the houses across the street, trying to decide if they were real or just some simulation inside my head. I questioned reality. It was uncomfortable and disorienting. At its peak, I began questioning my memories and whether or not they were genuine. A few days passed and the derealization subsided, but those symptoms were replaced by intense anxiety, rumination, and depression. 

I'm convinced this is all caused by SSRI (anti-depressant) withdrawal. I've never had these symptoms before, except for moderate anxiety, which is what my medication is supposed to treat. All my symptoms seem to fall under SSRI withdrawal and even the timeline itself (5 days) follows from what I've read.

Are derealization and anxiety intertwined? I'm back on my medication, and my anxiety is ebbing, but there is a nagging feeling of derealization lingering in the back of my head. I stare at certain objects and furniture items in my house, just to make sure the derealization is gone. It seems like more of a fear or anxiety of derealization but I think there might be lingering effects until my anxiety is almost totally gone. 

Please, can anyone confirm if derealization is tied to anxiety and/or depression? The mind trickery on my memories is particularly deflating, depressing, and exhausting. Also, has anyone else experienced derealization or any dissociative disorder triggered by medication? I feel better now than I did two weeks ago, but I'm worried that this experience has left a permanent change on my psyche. Please, any information, advice, response helps. I've felt almost hopeless through all this."
27,is DID just daydreaming .....daydreaming in the sense that youre just not toally aware of the present and you just drift off in to dream mode
28,"Hi again 

I think I've posted before but can't remember?? 

I seem to have 'different versions of me' rather than completely different alters. but some seem to be able to 'sneak out' without the main host at the time realising. 

We are a covert system and seem to have had 3 main ANP's over our life (to deal with 'public life - going to college, work etc) but have others 'inside' that were originally remembered as 'imaginary friends' when we were younger.  

We had been fine but after reaching the peri menopause period of the bodies life and then being isolated for a year due to covid (and needing to shield) the regular host/ANP seems to have vanished as no longer needed (no work/appointments to attend for months) and we can seem to be an entirely different person everyday or change throughout the day. 

Is this a 'mid life crisis' thing? or related to the menopause?  or just due to the isolation? (we're hoping to return to getting out and about once we've been vaccinated). 

Anyone had this with more frequent switches at midlife/menopause phase of life? ..or struggling with similar issues as a due to shielding alone for a year etc?

Thanks"
29,"Good morning everyone, nice to be here.
I wanted to discuss an experience i regularly had as a child, by the way I'm now 49!
The experiences were extremely distressing and I guess I'm trying to understand what was happening. From my interest in MH and as a MHFA, and my subsequent reading, it seems a good idea to finally try and describe the experiences and discover what was happening to me.
Only at night as a child from the age of 6 or 7, I experienced a feeling of sinking into my bed, as if the bed was swallowing me whole. I experienced loud noises and parents who were trying to comfort me seemed to be moving incredibly quickly, even thought they were stationary. I lost sense of perspective, so my arms would appear incredibly long or far away. Some items would appear larger or smaller than they should be, so for example a parent may appear in the far distance even they were in the same room. The whole experiences were deeply upsetting as it was difficult to describe what was happening to me a child. I eventually out grew it, by my late teens early 20's.
Any thoughts on maybe what I was experiencing?
Much appreciated all,"
30,"Hello everyone! 

I'm new here but wanted to ask your thoughts on what I am experiencing. Of course I am right now awaiting for professional therapy to help me identify it officially but its too long from now for me to patiently wait and do nothing. 

To the point: I've been having toughts of other people (imaginary) in my life since very early childhood. I remember just very few exact moments for the every year of most of my life and not much more. Recently I've been having gender and sexuality crisis as well as identity crisis that's reoccurring since I think always. I always when I think or talk to myself and other voices (they do not come from outside the head but just like my toughts) I will refer to me as to ""us"". Sometimes I lose control of my body and it does things that I do not intend on doing and I can just watch from inside. Few months ago I started seeing this voices inside me as full on people with exact looks and personality and likes and dislikes etc. Few days ago I started being open to my friends about me feeling like other people every so often and since that time I feel free and great when I can refer to my names as to which person I feel like and I'm sure I'm that person. They (people inside me) can finally behave as they want and as they would like to present themselves to my friends and we are discovering new things about all of us everyday. Most of us have slight amnesia after changing the person controlling body (we remember like what happened in last few hours but it becomes more and more blurry and its always like watching a movie instead of your memories and after some time we almost can't remember a thing from the other person time out. 

Of course I DON'T WANT TO look for diagnose here. I just want some clues as to what it can be. Sorry for the editing I wrote it on the phone. 

Sending love to all of you!"
31,"TW // drugs and related trauma

Hi, first of all I've never used a forum before so bear with me. I'm nearly 19, have a boat load of diagnoses you don't wanna hear about and I don't wanna explain right now, but here's some context for my question.

In november 2019 I had a panic attack while I was high, having mixed substances, it lasted 17 straight hours and I haven't been able to feel grounded in reality since. I've been working on it with my therapist, but thus far I've been completely unable to stop the dissociation even for a short period. I've tried several different types of therapy and I'm not ready to give up yet, but I'm starting to lose hope, I can't quite remember what it's like /not/ being dissociated anymore. My short term memory and attention span have also taken a huge hit. I guess my questions are: is there anyone out there who's been able to fully recover from this type of constant dissociation? How did you do it, and how long did it take? And if you didn't, how did you learn to cope with it?"
32,"a lot of the time i look in the mirror and think ‘ that’s not me’ 

i don’t know who i am anymore. 

i have these worlds of make believe in my head that i go to when i’m sad and i don’t think it’s normal, i make up whole new identities and personalities for myself, it’s when i feel the most like me. 

sometimes i sit and cry because i remember that i dream of happiness and a happy family but it’ll never happen and i get sad because my life is so horrible that i have to make up a new one. 

i’m completely out of it. in public, at the dinner table, with people i know, i feel as if i’m faking it. 

like nothings real anymore, nothing i do or say is real anymore. 

and i just completely zoned out when i’m with other people, i’m so stuck in my own head. 

i usually spend most of my day writing, reading and watching tv shows that i love, i’ve completely lost my sense of self because the only thing that gets me through the day is the made up movies and tv shows and books inside my head and i find it so sad."
33,"Hello, I’m new to the forum, here as I’m experiencing dissociation as a response to childhood trauma. I’m pretty sure it’s dissociation as I often feel like I’m floating away from my body or behind a screen. My psychologist agrees with me and we’re working on this.
But lately it’s been getting much worse in frequency and to the point where I find it very hard to move during an episode and impossible to talk. It’s very scary not being able to talk.  I was hoping that there would be others around who have had this during dissociation who could offer their experiences - I’m feeling very alone with it at the moment!"
34,"So I'm not sure if this is depersonalization let me identify it moderators. Due to covid our health care in this state has become very poor. You only get 5 min video call which is a shame. So I find it hard to cope with reality at times. I have this different version of me I like better. He's a rap star, has girls ,jewelry and what every player in the hip hop game could want. However I don't impersonate him he just exists inside my mind. I don't even talk about him to anyone I know. Am I losing it at all? Or am I just coping with harsh reality in today's America? Am I ok?"
35,"Hello :) 

Around November I started meditating everyday- only for about 20 minutes- but I was happy and thinking it would be good for my health. I started to do guided chakra meditations and each time it would come to my third eye chakra, I was making the mistake (I now realise) of forcefully concentrating very hard on that area. It would kind of vibrate and feel weird in my head and after the meditation I would feel really dazed. After a few weeks of this, I noticed that whenever I went outside I was verry sensitive to light and my vision started to blur. Eventually I was getting this feeling all the time, even indoors, where I feel totally detached from myself. It's almost like feeling drunk all the time. Everything is so weird and it doesn't even feel like I'm living in reality. When talking with people I start getting really paranoid that I'm not making sense and I can't even focus on them properly. It's like I'm looking at the world from under water. I feel a pressure in my head and recently my ears have been constantly ringing. It's driving me crazy. It's been about 6 weeks now and I have these symptoms from the moment I wake up to when I sleep again so there's no respite. 

I have been to the doctor and had a comprehensive blood test but they couldn't find anything and she's reluctant to send me to a neurologist and basically told me to come back in a month if it doesn't go away. She mentioned depersonalisation as a possible explanation but I don't think I have been particularly stressed. The meditation thing I can see as quite an obvious correlation but of course I could be wrong and this is a random neurological issue- but maybe I triggered that with the meditation?? Has anyone had any experience with this or could offer any advice to me? I fear I will never feel normal ever again. 

Maybe I just sound like I'm crazy 🤪

Thank you for reading!"
36,"Hello 
I'm hoping to get some advise on what the name is of what I'm experiencing and what can be done about it as I am presuming it's not normal but o have no idea where to turn.

I'm an extremely passive person and usually avoid conformation at all costs. Over the years I have been working on this issue slowly.

However on multiple occasions when a confrontation happens which i am not expecting I seem to just zone out. A colleague even commented it was like I wasn't even in the room.  Afterwards I'm left with very little memory of what has happened.

 This occured yesterday however I can remember exactly what was said but did not stand up for myself as I ""zoned out"". I'm left absolutely infuriated at myself for this. What is happening to me and is there a way I can ensure I ""stay grounded"" and ""in the moment"" as to enable myself to act properly in future?"
