,0
10,I have suffered from PTSD for many years now. But I  still realy struggle to manage it and the triggers...mood swings...hopelessness of it all. A lot of times I just wish I could die as I just feel mentally and emotionally tortured inside. Don't know Me anymore. Can't seem to find a way out of it. So exhausted going round and round trying to find help with it.  Pretty alone in world. Can't function well enough to keep relationship with anyone going as too much pressure on my head. In fact I can't seem to handle any pressure at all..even the tiniest amount. Does anyone else suffer this? My mood is one extreme to another. Unstable and tired. What actual help/ therapy is there available for this? It ok to be told that is what I suffer by a doctor but what's the solution? Desperate here. Realy am. Please any advice?
11,"Hello.

I feel drained. I've been dealing with too much in the last decade, my faith in humanity is rather low, except for my significant other, they bring light into my life... I'm overwhelmed and in physical and emotional pain almost on a daily basis, but I truly want to get better... I don't want to get too much into this now, I just want to write it here to be taken into account...

This afternoon I had a fight with my significant other, because I felt left out and neglected by them. We always eat together, we have a schedule for that. It was time to eat, I was hungry, but they still wanted to work and finish something. I understood this, and I told them to please let me know when they were ready, they agreed to text/call me as soon as they were ready. But they made me wait extra, they decided to take their time and go prepare a drink and didn't even tell me because they felt like it and thought ""it was faster and more practical this way since they were almost done with what they had to do anyway."" I ended up waiting for an hour but it felt like much longer, especially when I found out why they had taken longer.

It triggered a hurricane of emotions in me, and those emotions turned into a barrage of questions that I poured on them (things like, ""do you not love me enough to at least let me know or wait to have a drink with me during the meal since you were going to finish soon anyway? Do you not care enough about me to be considerate of the fact that I'm hungry and have been waiting for you?""). And the less they were able to answer, the more unloved and desperate I felt, the more I yearned for them to apologize and be kind and gentle and loving towards me, but they were getting (understandably...) defensive instead... I just wish they had been reassuring and protective even, as soon as I'm shown love it's easier for me to snap out of this state. But I can't depend on that, and today was the proof, it escalated so much... I wanted it to stop, I almost break up with them. I wanted to disappear.

I know that what they did wasn't alright, but it wasn't as terrible as it felt (life or death almost)... I wish I could have stopped the storm of emotions and told them in a more assertive and calm way, I know they would have understood. They can't possibly be always loving towards me, no matter what... I know it's unrealistic of me to want this so desperately... they're human, they get tired too, they can't be emotionally available 24/7.

I feel extremely guilty and ashamed because I just can't seem to stop it. With the situation getting harder for me in the last few years (long story), I've become so much more sensitive, anxious, tense, hypervigilant, needy, etc... I'm tired of how much this hurts us emotionally and mentally... I feel like a burden, like they'd be better if I wasn't around... but in truth, if I disappeared, that would harm them so much more... and I do want to have a happy, peaceful, and healthy future with them...

How can I protect my significant other and myself from this? How can I stop it from spiraling out of control? Especially when they're unable to calm themselves down too, it triggers me so much more when they get angry/defensive...

I already meditate on a daily basis and take care of myself in other ways, I need to know if someone knows a way to stop it before it happens or while it's happening... I'm aware and reasonable when regulated, but when I get triggered like this I'm not, I have all kinds of pessimistic, angry and depressing thoughts about everything... they spiral so fast and hurt like Hell.

Thank you for reading me..."
12,"Over the last two years, I have experienced extreme distress over certain thoughts and experiences that I would have. It’s possible that I have always felt this sense of discomfort and distress, but I didn’t start getting a more amplified negative physical and emotionally reaction to these thoughts and experienced until recently.  

Thoughts/experiences that trigger me:

Feeling uncomfortable and anxious when people are unresponsive (e.g., not giving me eye contact; not being genuine when talking to me; their body language is closed off and not open to me; not being emotionally attuned). Then my body begins to shut down and I get into a “freeze” response. I can’t exactly escape the situation but I can’t fight it with either. 
When I am constantly questioning my sexuality. There are moments when I don’t question it and I feel better, but the moment sexuality shows up in my thoughts again (and I can’t seem to stop thinking about it), I start getting distressed as well as getting into this intense state of fear - that I’m not who I thought I was. I begin to feel afraid that I am actually asexual. I think this is attributed to my fear of lack of control. 
When people try to get to close too me, or the opposite - they avoid me. Although I crave being close to others I also have a desire to avoid people at the same time. I suffer from chronic loneliness too. 
When people question my choices and who I am (a lot of the centered around my sexuality), I get extremely distressed, insecure, and there is a feeling of humiliation in the mix

These are among the biggest that seem to be triggering for me. I am not sure if they can be attributed to c-ptsd. I went through a lot bullying and emotional neglect as a child. I’m not sure why the topic of a lot of these triggers are about my sexual orientation, but I’m hoping I can get some non-professional advice from this forum."
13,"I'm terrible at telling my story and I don't even know if I belong here, but something inside is telling me to write on here so here goes... ***TRIGGER WARNING - discussion of emotional neglect and abuse.

I am a 27 y.o. female, and for all of my life I have always had an anxious disposition. As a child, I never felt close to anyone in my family (except for my mother but we have a codependent relationship which I just realized recently). I didn't notice until the last few years or so that I don't have the relationship with my father that my friends have with theirs. He is emotionally distant, neglectful, and sometimes emotionally abusive, especially towards my mother. She once told me recently that he's pretty much a sociopath. No empathy. No emotional capacity whatsoever. He has always been this way, but I never realized any of this.. that I actually was emotionally neglected and abused throughout my childhood.

My father never once made an effort to get to know me or understand who I am, nor would he ever notice if I had a problem going on in my life. Any emotions I would express around him he would either dismiss them completely or tell me that they weren't real. ""You don't really feel that way."" ""You don't mean it."" He would never keep any eye contact with me, as if I do not even exist or am worth talking to. After everything that has happened with the pandemic, my father not once checked in with me (I unfortunately have been living with him). Every time I am with him, I feel even lonelier then when I am actually alone.

I had a cat recently who had attacked me, and when my father came home and I told him what had happened, showing him my bloody arms and legs (it a was horrible attack. I don't want to get into detail.) clearly in pain, but he didn't feel sorry for me. No emotions to be detected. He just looked at me and gave me an awkward smirk. Didn't want to take me to get cared for or didn't bother to try to do it himself. He just went back to business as usual, reading the newspaper and watching tv. I had to drive myself to the fucking urgent care with my bleeding arms and legs to get a shot and an expensive medical bill. I was there alone. That felt like a turning point for me.

I stopped bothering to talk to him because anytime I ever tried to connect, he wouldn't follow through. I sometimes feel guilty for not giving him my own attention. But why is it up to the child to pick up the pieces? To this day, he is unwilling to have a relationship with me. Every time I am around him I feel unloved but at the same time, I want to avoid him like the plague. He never makes the effort to tell me he loves me. He doesn't feel like my dad. He's just a person that I live with. I honestly probably won't be that sad when he finally passes.

As an adult, I feel that I have exhibited many symptoms that could be related to C-PTSD. I feel that I have severe abandonment issues - more like a fear of rejection. At the same time, I avoid close relationships. Ironically, I have never had a serious relationship before so it's like, ""how could you know what abandonment feels like if you had never been in a situation where abandonment was possible?"" Maybe it has to do with my father? I would hear stories of women who constantly seek male approval in toxic relationships, but that has never been me at all. I avoid everyone. So the ""clinging to relationships"" box is not checked off in my case.

I experienced a lot of bullying in high school too. I have major trust issues and struggle to connect with others. I am unable to open myself emotionally. I'm such a people pleaser and perfectionist, I would put people's needs often before my own. Assuming everything is my fault? Check. I am hyper-vigilent in my surroundings and struggle with anxiety, depression, and identity issues (centered around my sexual identity). I am always jumpy when people get too close to me, and I would constantly hear other people asking me why I am I so nervous and anxious all the time. I go emotionally numb when conflicts arise and cannot function almost. My body just shuts down. I often have feelings of shame and guilt. I went to see a psychiatrist for an anxiety diagnosis but she could not find a proper diagnosis that fits so I was diagnosed with ""unspecified anxiety."" Obviously I was not happy about this.

All I know right now is that I have anxiety and depression... but I have a feeling there is trauma there in the mix. Possibly OCD too. I know that emotional neglect is not the same as sexual or physical abuse, but I feel that I am experiencing similar PTSD symptoms. I just know something is not right with me."
14,"I’m worried this is my new normal. I feel changed and different. I’ve been trying to get back to myself but I don’t know if I can. Because that person pushed so much down and didn’t notice certain things. But now I notice them and I’m not okay with them, I’m not okay with so many things about this world. My perspective has changed in a lot of ways. What if I’ll never feel at ease again? What if I’m always going to have to push so hard every day to be okay? What if I’m never going to get my libido back? What if I’m going to be so overwhelmed for the rest of my life that I won’t be able to participate in life? My brain is overloaded, I can’t think. I can’t make conversation very well. Not that I could well before, but it feels a lot worse. Everything feels a lot worse. I’m worried it’s going to be like this for the rest of my life. I’m crying most days. I’ve been struggling to eat for months. I feel like I’m drowning in a drowning world that’s trying not to drown, but...every faucet is always on. I’ve tried the positivity. It saved my life once. But I can’t fake that stuff anymore. I can’t push anything more down."
15,"I’m thinking back to feelings of being unwanted. I have to give myself reality checks. I hate this part of mental illness. Sometimes it takes a lot for me to reach out to a friend, let alone ask them to hang out. I did that tonight, but the question (mentioned in the second half of the text) wasn’t addressed. Only the first half of the text message was. It made me think back to how many times I’ve put myself out there to do something scary and I get shot down somehow, or there was some weird obstacle, mistake, or fumble in the way. Even if it’s just in my head. Which may be the case because maybe she just didn’t finish reading the whole thing, which might’ve been done in a hurry. She was with another friend at the time, I know that. This person has done nothing to make me think she doesn’t want me as a friend to hang out with and get closer to. I feel so stuck. I don’t know how to respond. Do I say, “Hey, did you finish reading my text?” How do you even do that without making it awkward? I agonize over this shit. I’m so tired of it. I feel trapped. All these subtle difficulties in communication kill me. I keep trembling."
16,"Tonight..I realized that I am a survivor of childhood sexual, physical, emotional, and psychological abuse. I acknowledged my emotional and psychological abuse since I started therapy and treatment at 17. I usually told people I had trauma from bullying in school and mentioned only in initial sessions that I was abused early in by a babysitter..and briefly mentioning the covert abuse from my father. After four years in recovery so far, I accepted that more than that has happened especially with the abuse from my family finally ending when I escaped the house in October 10th. I am finding a therapist and other ways to truly heal. I have other ways I will..and I want to utilize in more resources. I am however afraid to tell someone the full truth..so what has anyone here done when scared to admit the severity of prolonged trauma to a therapist or an kind of social service assistance? I am from the US by the way."
17,"Hello,

I apologize for using SOS in the title of the post but I am really disturbed by what I am feeling.
The problem is that I was bullied for a very long time and when I finally stopped I became hypervigilant about anyone using that particular word for bullying me. The word used to bully me was the N-word.

Now many years later I am still hyper vigilant regarding that word but now I am worrying that what if I get triggered by even the first letter of that word (the word was the N-word and the letter is N) and now I am noticing the letter “N” everywhere.

I am hypervigilant regarding the existing triggers and I really don’t want more to add to the list.


It is like my sensitivity is decreasing and the triggers are increasing.

What is the problem which I am facing and how to stop more triggers from being added?


Pls help!

Thanks"
18,"Finally finding out my whole life from being hurt by countless people online the most and a few situations in person. By being severely hurt by people in so many ways as well traumatic situations sadly as well happening to me. I finally know what I have and it's  C-PTSD and I fully accept I have it.  I have now in my life a truly wonderful therapist who specializes in that field ( After half my life of searching for professional  help ) who is helping so much as I make truly unbelievable tremendous progress with her every time I see her. She helped get my mother and sister on board on so many ways they could also help me and better support me even more as well in my healing journey.

Since sadly they never understood or get for years my pain and suffering I was going though thus we then argued about it all the time, it strainly my relationshipwith them severely. It also making my relationship with them really not great nor healthy for my healing journey, so years they never could truly fully help me  get better with my mental health and my now C-PTSD. However  this year now after my wonderfully and also  totally awesome  help from my therapist by speaking to them both explaining  all I went through to make sense to them my struggle. Our now relationships between  all three of us is so much stronger  and extremely better between all of us.

 Truly all thanks to my therapist by speaking to them about what I've go through  and struggled with for years, they finally get and understand me better for the first time. My relationship with my mother and sister who help me out so much in my life in so many was, I'd be truly lost with out them and the help and the support they give me even before finding my therapist best they could. They are both truly my rocks, very best friends and my sister even being a 2nd mother to me. They finally understand me truly more and are helping me so much best they can to also heal my trauma and helping me learn to let go, forgive and focus on the present. Never to dweal or letting my past that hurt me so much my whole anymore. Now I'm extremely thriving overcoming my C-PTSD not letting it defined me anymore, so it doesn't effect me anymore and run my life.

 That I can finally find my true peace as well  happiness in my life again or even for the very first time. I wrote about what I've been through a bit on here already my story. I wanted to share my thoughts on this and how I won't let my C-PTSD win anymore and effect me as well. It's going be still very tough and I will have off not good days as well still. However I know I can and will overcome this. Also hopefully anyone who else suffers with this as well can too heal and become healthier,  stronger and find peace in their lives. It might take  for you as me still time but it can be done and you can live better and love yourself fully  and enjoy your life."
19,"Can somebody tell me
I feel a lot of guilt and shame for my past actions
 Does it ever go away? Do the guilt and shame ever go?
Thanks for listening"
20,"Hello my fellow traumatics. Wanna get angry? Wanna get REAL ANGRY?! This is a war that we are fighting and its time to start winning. Our care systems failed us and Its time to start making some noise about our backup systems that failed us. You suffered and that's wrong. But we can end suffering here. We know those warning signs. Chances are you wanted to work in care and got put off because you couldn't handle your own emotions. This. ends. here!

SHOUT

USE. YOUR. VOICE

We survived. we'eve adapted. but now, we overcome.
We are survivors! through all life had thrown at us we didn't back down! We won. We can now ask for proper help. But there are people out there like us that still think that what they experienced is the norm. We need to help them before they become like us. I never want any child to experience the pain I did.

Psychology has come a long way, but it still has a lot more to go. It's about time that we bring everyone else up to speed..

I'm using the energy I had to use to protect myself to now help protect others.

If you were failed by ""care"" systems then speak out against them. Don't let others fall prey to them.

I'm writing up a complaint about my mother's facility and my school as we speak.

I was put in the care of the crisis team. I needed help and reached out and no one reached back! I was told to go to the GP and get my medication increased to deal with what seemed to be anxiety and depression, to which I've recently on just found that my actual condition is CPTSD.

I feel angry and disgusted at the level of care that I received during the course of my childhood. I talked to teachers who told me to speak with another CHILD because her brother had autism. HER BROTHER!... not her PRIMARY CAREGIVER. I had no help and no one got social services involved. I was a CHILD on my own left with a STRANGER whilst my mother was receiving mental health care and institutionalised for trying to kill/hurt herself. This system left me in the care of a STRANGER. I have been living my entire life thinking something was wrong with me, when instead the NHS failed me.

My mother was treated and even though now that she has left, she is receiving no social support work even though she is a constant risk to herself/ and possibly others.

As far as I'm concerned my ABUSE and NEGLECT stops here. I need help and currently, my only available help is the same people who failed my mother.

STEP UP! or I'm going to be making some noise.


Also here's a little picture I draw to commiserate my journey to getting better :3"
21,"I am trying everything within me to not lose it and self-harm as well as make this week my last week. I feel like after six attempts, working towards freedom, accept myself, going no contact with toxic people, trying to accept that I need help, and lifestyle changes..I honestly feel like I have no choice but to die. I am a citizen with missing documents, abusive parents, and very little support. I listen to so many stories of success and see many that get justice. I see great things happening to other people. I have a glimpse of that and that it gets taken away. I tried to go to the law and DSS..none of them took this seriously. I am afraid to be on the phone now because I am afraid that I will be judged. I am already ashamed to be alive. I have been discarded even by those who treated me. I had to go out of my home state to receive help. My father won't stop trying to hoover and keep my social security card. I have no proof of much abuse because my sister was the center of attention. I experienced trauma symptoms since I was 3. My parents even lied when I spoke my first words. I remember my first abusive babysitter..I never asked for much in my life. I haven't even got new clothes officially since I was 15. I tried cleaning so much and no one tried to help me. Until my school got involved, my mom took slow time to get help even confiding having suicidal ideation. I feel like no one wanted me to live and when they heard I wanted to die, they told me what I wanted to hear for their benefit. Yet.. I feel like the world isn't for me despite how much I love life. I just feel officially I don't deserve it. Life is only for a certain type of people. Even if after being honest, hard-working, and humble or confident or happy or sad or logical..no one gives a fuck. All because people who abused me the most are the most ""charismatic"". I really feel like I talked myself off the ledge..for nothing. My family doesn't even truly care if I suffer."
22,"Is anyone else always constantly overwhelmed? Even when I’ve got not much going on, I still get overwhelmed. There is pressure coming from all sides. I’m having a hard time accepting that this is the way life is. There is so much pressure to be responsible and being responsible for anything gives me anxiety. How am I supposed to have a career and help people when I haven’t even figured out how to be at ease? I’m trying positive self-talk, I’m in therapy, I try to validate my own feelings...It’s like I’m in a constant state of overwhelm. I just want to feel like I’m good. Like I’m okay and aren’t constantly doing something wrong. I want to have confidence in my capabilities. Right now I don’t and it’s terrifying me because I have to get a job. It’s been months since I’ve worked. But I have to now. And I’m so scared that I won’t be capable. I don’t have confidence in the way my brain works. When I get anxious around people, I get a freeze response and my brain sometimes goes blank. I can’t think and I don’t have much to say. 
Good lord. There’s a lot I’m worried about. All the time. Any tips to help with constant overwhelm, the freeze/fawn response, and deep insecurity about my own mental structures? And deep insecurity about friendships..ugh. I wish I felt like I had more control over my life and myself."
23,"I've been in therapy for a while now, because I've been assaulted at 13. Today as a tried to tell my therapist about the worst moment during my assault, I had a flashback. For a brief moment I could taste my rapist again.

Has anybody else had flashbacks during therapy and how did you and your therapist deal with it?"
24,"Do the symptoms tend to stay or can they change? Can one become outwardly normal without treatment? 
What's bad enough a trauma to cause ptsd/cptsd?"
25,"So today I spoke to a nurse about my trauma for the first time!!! 
He suggested a diagnosis of C-PTSD which is how I found this forum.

Does anyone have any advice on dealing with emotional flashbacks? (The kind where you don't realise your having a flashback?)"
26,"Hello everyone, this is me again haha, i wasnt sure if i should post something that i percieve as ""not so serious"" but im tryina be better so i kinda need help in this situation: i've been in a romantic relationship for a year, and yea, it's been nice but when conflict appears i just end up stuck, and thinkin ""i dont know what to say, or i dont know how to talk with this person anymore"" and maybe its because i had never the chance to actually ""solve"" the conflicts because in my household im always the conflict, so i never actually had a chance to say somethin (narcissisist mother), anyway, so, my couple did somethin that actually hurt my feelings, and i dont know how to point that out without feeling like is gonna be the end of it, like all being a huge catastrophy, my couple is a very nice and comprehensive person, but sometimes they tend to avoid uncomftarble situations which makes things a little difficult, so i really would like to get trhough nicely, even if it may be a little rough, any advices?"
27,"Hi Everyone

I've recently come to realise that I have cPTSD. The trauma comes from years of bullying at secondary school as well as a very critical father.

I regularly experience emotional flashbacks, crushing toxic shame, a vicious inner critic, depression and social anxiety. The fight/flight response is activated during an emotional flashback and when this happens I always freeze. If it is an intense emotional flashback then the sympathetic nervous system becomes hyperaroused which often leads to sweating and occasionally facial blushing.

The flashbacks range in intensity but are often stimulated in situations where I'm with strangers, especially white people since it was white people who traumatised me.

I'd like to know if anyone has experienced something similar and what the possible treatments are.

I've tried the following;

CBT - Didn't work
MDMA - It helped me to access those traumatic memories so now I'm able to talk about it openly with people without becoming too upset
Meditation - It helps to ground me

Has anyone tried something else that has helped to cure them?"
28,"I am a survivor of sustained emotional abuse from early childhood. I've separated from family because of it but with significant health issues. Trying to get a diagnosis to account for my symptoms has been difficult. But C-PTSD describes me perfectly. I have asked that to be considered and have been told it is not a legitimate diagnosis unlike a personally disorder that they are pushing which I do not match the criteria for - in at least one very  significant category.

What did the psychiatrist mean when saying C-PTSD isn't a diagnosis?"
29,"I've been reading this book and have now finished part one, Overview. @AliceinWonderland is also reading and I wanted to set up this thread. Anyone else who is familiar with the book or who has questions is welcome to post.

The book is really well written, each idea presented in a small chunk. I also love the non-clinical language. It feels so validating. 

I'm already finding the ideas incredibly helpful. Too much to break down now but it really is helping with my recent efforts to stop seeing myself as intrinsically defective. 

The emotional flashbacks section was really well put, first time I have understood the concept. This understanding was followed by ""Ah! So that is what is going on with me!""

The book is also helping me to begin to feel... (whisper it) as if I maybe starting to like myself a little!? :sorcerer: It has also introduced me to my new favourite word, 'parentdectomy' :D"
30,"I'm on sleep meds.  But, waking up during the night.  I'm having nightmares and panic attacks.  
I see my psychiatrist next week.  I just wanted if anyone had some ideas that might help.
Thanks, Amber"
31,"I try my best to be myself, but for some reason I just can’t seem to do it. I say things I don’t mean, I behave in ways I don’t recognize, I say things I end up disagreeing with (things that make me cringe), and I freeze/fawn around people. I feel like I’m pushing my friends away, but I’m also prone to painful over-analyzation and self-reflection. Myself, other people, the world...nothing ever seems certain. Nothing seems for sure and solid. Clear. I just wish I knew what was real and true. I wish I could start over. Does anyone feel like this? I would really like to know. I’ve been trying to stick with meditation, I’m on meds now, I have a bit more structure in my life, I keep a bullet journal to stay on track, I’m in therapy, I have a coping toolbox. I’m making a bunch of effort to help myself get better so that I can not only feel confident and free, but also so I can love others better. It’s hard when you feel like your wounds keep getting scratched open. But I’m working on healing those. What do you do that helps bring clarity, authenticity, and confidence to yourself, your relationships, and the world around you?"
32,"How do we diferențiate cptsd/ptsd symptoms from schizophrenia negative and cognitive symptoms? Than from cptsd/ptsd and other anxiety disorder ( generalised anxiety, social anxiety) ?
 
Thank you."
33,"My husband is a 24 year veteran and I am finding it harder and harder to cope after yet another aggressive outburst at work he was dismissed again and for 8 months I feel like I am on suicide watch, it's exhausting and there seems to be no way of him getting help as denial is prevalent"
34,"The last few nights I've been having horrible nightmares.  And, the next day I'll be panicy and scared.  
I have CPTSD and dissociative disorder."
35,"This is an odd one. I'm currently (finally) having therapy for longstanding issues. Some of what I'm experiencing has all the hallmarks of trauma, but the feelings aren't attached to any memories. My therapist says she thinks it likely that memories will attach themselves to these feelings as we go forward, but I can't help but worry that there's nothing, that nothing happened and I'm just somehow making this all up for attention, or something. 

So I guess I'm just after reassurance that others have had similar experiences. This may also be the wrong forum, so feel free to move if so."
36,"I know people mean well when they say this. Even I've said it to others who have survived abuse as well. The truth is I really don't draw any comfort from this sentiment. I'd feel better if I was the only one. I'd feel better if nobody else knew how I feel, knows what it's like to feel terror so severe that your brain just malfunctions when trying to process the trauma and is stuck on an infinite loop. 

When people say ""you're not alone"" what they really mean is ""it happened again to someone else."" I'd gladly serve time in this hell if it meant nobody else would ever find themselves here too. Let me be lonely here so I'd at least know the world is changing for the better."
37,"Hi

I've been working on my MH seriously for some years. 

I have never been diagnosed with anything. I am aware that CPTSD can only be diagnosed* after an in depth interview with a suitably qualified professional but I now suspect that CPTSD what I have been struggling with. 

I say suspect because 'denial' again but the truth is I (un)comfortably meet the reputable academic diagnostic criteria I have found online. I have also found that it is only on sub-forums for CPTSD that I (finally) see my experience of life being described by others.

A diagnosis is only valuable to me if it results in proper treatment; however, my memories of childhood are so vague that I doubt EMDR would be effective. It is more a totality of experience than specific memories that I need to address.

I have previously had therapy that focused on identifying and integrating the different parts of my personality, the psychotherapist also helped me to identify and process emotion. That helped hugely. I am also very familiar with CBT and mindfulness which are also a massive help. 

I am continuing to explore my childhood and my emotions via open-ended counselling and finally I am starting to no longer see myself as a person who needs to be fixed, who needs to be better. Instead I am starting to see my intrinsic worth.

My difficulty now is where to go from here now that counselling is coming to the end of its usefulness. I still have a number of symptoms significantly impacting my life.

Has anyone benefited from specific treatments for CPTSD? Particularly those that help with self-soothing the parts of you that are always defensive, always on the alert?

*There does not appear to yet be a globally accepted method of diagnosis . This condition is not yet in the DSM but it is in the latest WHO classification of illnesses."
38,"It's been a few years since I was in therapy, and last time I looked into it people weren't really being diagnosed with it. I was emotionally abused my entire childhood by my father. I started having panic attacks a few months after I moved out (which are well under control now, this was 10 years ago), I'm assuming because your body doesn't have that kind of reaction while the trauma is still taking place.

Anyway, point being that I believe that the trauma is the main cause of my anxiety, depression, and hopeless feelings. And I guess I'm just curious if anyone's doctor has given them this diagnosis."
